ZIP,Neighborhood,Borough,Cases,"Cases per 100,000","Deaths per 100,000",Percent positive<br>(of people tested)
10001,Chelsea/NoMad/West Chelsea,Manhattan,485,2058.31,118.83,4.56
10002,Chinatown/Lower East Side,Manhattan,1486,1936.02,208.45,5.75
10003,East Village/Gramercy/Greenwich Village,Manhattan,740,1375.42,65.05,2.72
10004,Financial District,Manhattan,60,1643.56,27.39,4.06
10005,Financial District,Manhattan,121,1441.14,23.82,3.61
10006,Financial District,Manhattan,53,1532.78,0,4.05
10007,TriBeCa,Manhattan,96,1163.67,36.36,2.9
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,986,1678.36,119.15,4.13
10010,Flatiron/Gramercy/Kips Bay,Manhattan,429,1325.23,58.69,2.77
10011,Chelsea,Manhattan,766,1547.46,86.87,3.54
10012,Greenwich Village/SoHo,Manhattan,332,1384.42,37.53,2.97
10013,Hudson Square/Little Italy/SoHo/TriBeCa,Manhattan,382,1315.83,75.78,2.84
10014,Hudson Square/Meatpacking District/West Village,Manhattan,480,1546.23,93.42,3.38
10016,Kips Bay/Murray Hill/NoMad,Manhattan,986,1877.22,93.29,4.3
10017,East Midtown/Murray Hill,Manhattan,210,1302.15,49.61,3.33
10018,Hell's Kitchen/Midtown Manhattan,Manhattan,232,2434.05,62.95,6.17
10019,Hell's Kitchen/Midtown Manhattan,Manhattan,803,1976.3,105.83,4.23
10021,Lenox Hill/Upper East Side,Manhattan,754,1706.82,147.14,3.99
10022,East Midtown,Manhattan,478,1575.75,108.79,3.82
10023,Lincoln Square,Manhattan,779,1292.41,89.59,3.31
10024,Upper West Side,Manhattan,958,1670.8,130.8,3.83
10025,Manhattan Valley/Morningside Heights/Upper West Side,Manhattan,1763,1909.38,197.11,4.11
10026,Central Harlem (South),Manhattan,850,2178.48,128.15,6.25
10027,Central Harlem (South)/Morningside Heights/West Harlem,Manhattan,1313,2063.46,183.87,5.52
10028,Upper East Side/Yorkville,Manhattan,656,1334.55,69.17,3.68
10029,East Harlem,Manhattan,2248,2851.29,268.89,7.96
10030,Central Harlem (North),Manhattan,633,2158.8,197.8,6.81
10031,Hamilton Heights/West Harlem,Manhattan,1736,2866.72,224.58,8.51
10032,Washington Heights (South),Manhattan,1953,3175.99,284.59,8.99
10033,Washington Heights (North)/Washington Heights (South),Manhattan,1720,2904.89,207.73,8.57
10034,Inwood/Washington Heights (North),Manhattan,997,2314.64,167.16,7.43
10035,East Harlem,Manhattan,1214,3526.34,397.95,8.83
10036,Hell's Kitchen/Midtown Manhattan,Manhattan,600,2289.09,152.61,4.9
10037,Central Harlem (North)/East Harlem,Manhattan,627,3036.38,319.62,8.41
10038,Chinatown/Financial District,Manhattan,374,1696.3,127,4.46
10039,Central Harlem (North)/Washington Heights (South),Manhattan,664,2509.68,249.46,8.08
10040,Washington Heights (North),Manhattan,1417,3162.36,270.04,8.81
10044,Roosevelt Island,Manhattan,280,2393.1,307.68,6.83
10065,Lenox Hill/Upper East Side,Manhattan,442,1520.91,96.35,3.38
10069,Lincoln Square,Manhattan,85,1341.09,31.56,2.89
10075,Lenox Hill/Upper East Side,Manhattan,509,2153.66,203.1,4.68
10128,Upper East Side/Yorkville,Manhattan,835,1361,68.46,3.41
10280,Battery Park City,Manhattan,72,748.54,0,2.55
10282,Battery Park City,Manhattan,89,1613.65,253.83,4.87
10301,Silver Lake/St. George,Staten Island,1497,3779.01,272.63,10.6
10302,Elm Park,Staten Island,762,4058.81,170.45,12.69
10303,Graniteville/Mariner's Harbor/Port Ivory,Staten Island,1030,3926.55,182.99,11.87
10304,New Dorp/Todt Hill,Staten Island,1704,4014.26,428.75,11.19
10305,Arrochar/Midland Beach/Shore Acres/South Beach Ocean Breeze,Staten Island,1584,3721.72,190.32,11.4
10306,Lighthouse Hill/Midland Beach/New Dorp/Oakwood,Staten Island,1832,3412.46,156.47,9.69
10307,Tottenville,Staten Island,486,3194.31,98.59,10.59
10308,Great Kills,Staten Island,845,2851.33,97.86,9.43
10309,Charleston/Prince's Bay/Woodrow,Staten Island,1077,3263.14,99.98,10.21
10310,Port Richmond/Randall Manor/West Brighton,Staten Island,879,3682.3,146.62,10.49
10312,Annadale/Rossville,Staten Island,1954,3240.23,101.15,10.13
10314,Bloomfield/Freshkills Park,Staten Island,3341,3678.13,225.69,10.9
10451,Concourse/Melrose,Bronx,1901,3983.76,324.82,10.84
10452,Concourse/Highbridge,Bronx,3076,3992.99,231.06,11.75
10453,Morris Heights/Mount Hope/University Heights,Bronx,3027,3728.57,209.4,11.95
10454,Mott Haven/Port Morris,Bronx,1361,3560.64,282.55,10.79
10455,Mott Haven,Bronx,1597,3786.66,265.56,11.45
10456,Claremont/Morrisania,Bronx,3083,3299.38,318.91,10.47
10457,Belmont/Claremont/Mount Hope/Tremont,Bronx,2697,3611.16,254.4,11.03
10458,Belmont/Fordham University/Kingsbridge,Bronx,2702,3224.05,158.7,10.84
10459,Charlotte Gardens/Hunts Point,Bronx,1858,3842.45,345.37,10.83
10460,Charlotte Gardens/Tremont/Van Nest/West Farms,Bronx,2057,3424.15,219.73,11.15
10461,Morris Park/Pelham Bay/Westchester Square,Bronx,2159,4363.42,284.97,11.52
10462,Parkchester/Pelham Parkway/Van Nest/Westchester Square,Bronx,2805,3627.2,241.81,10.95
10463,Kingsbridge/Marble Hill/Riverdale/Spuyten Duyvil,Bronx,2471,3466.25,310.01,9.28
10464,City Island,Bronx,141,3239.03,206.75,9.19
10465,Country Club/Throgs Neck,Bronx,1760,4090.13,213.8,11.23
10466,Edenwald/Wakefield,Bronx,2769,3836.95,242.49,12.48
10467,Allerton/Norwood/Pelham Parkway/Williamsbridge,Bronx,4132,4099.86,337.35,11.56
10468,Fordham/Kingsbridge/University Heights,Bronx,3397,4430.03,294.73,12.37
10469,Allerton/Baychester/Pelham Gardens/Williamsbridge,Bronx,3418,4779.87,523.02,13.21
10470,Wakefield/Woodlawn,Bronx,530,3757.86,155.99,11.16
10471,Fieldston/North Riverdale/Riverdale,Bronx,923,4344.09,418.88,8.94
10472,Soundview,Bronx,2421,3564.81,287.13,12.06
10473,Castle Hill/Clason Point/Soundview,Bronx,2367,3822.35,229.31,11.75
10474,Hunts Point,Bronx,358,2878.26,168.84,10.03
10475,Co-op City/Edenwald,Bronx,1967,4496.7,411.49,12.53
11004,Bellerose/Douglaston-Little Neck,Queens,693,3694.31,367.83,9.18
11101,Astoria (South)/Long Island City/Sunnyside,Queens,859,2440.06,110.78,5.23
11102,Astoria (North),Queens,854,2616.99,260.47,6.98
11103,Astoria (North)/Astoria (South),Queens,793,2167.52,153.07,5.92
11104,Sunnyside,Queens,626,2526.67,169.52,6.71
11105,Ditmars Steinway,Queens,665,1852.63,122.58,5.37
11106,Astoria (South),Queens,900,2327.72,147.42,6.66
11109,Long Island City,Queens,75,1479.1,39.44,3.19
11201,Brooklyn Heights/DUMBO/Downtown Brooklyn,Brooklyn,941,1544.95,157.61,3.29
11203,East Flatbush (North)/East Flatbush (South),Brooklyn,2434,3316.42,336.55,11.17
11204,Bensonhurst/Mapleton,Brooklyn,2820,3555.11,192.88,12.81
11205,Bedford-Stuyvesant (West)/Clinton Hill/Fort Greene,Brooklyn,975,2215.24,115.87,6.2
11206,Williamsburg (South),Brooklyn,2112,2470.27,183.63,7.1
11207,Cypress Hills/East New York,Brooklyn,2616,2934.16,245.63,9.65
11208,Cypress Hills/East New York,Brooklyn,3011,3149.33,263.58,11.31
11209,Bay Ridge/Fort Hamilton,Brooklyn,1533,2285.29,177.4,6.69
11210,Flatlands/Midwood,Brooklyn,2382,3550.49,225.07,12.31
11211,East Williamsburg/Williamsburg (North)/Williamsburg (South),Brooklyn,2885,2896.74,139.57,6.96
11212,Ocean Hill-Brownsville,Brooklyn,2289,2875.99,296.52,10.32
11213,Crown Heights (East),Brooklyn,1824,2831.16,234.38,8.82
11214,Bath Beach/Bensonhurst/Gravesend,Brooklyn,2092,2241.43,203.57,8.41
11215,Gowanus/Park Slope/Windsor Terrace,Brooklyn,821,1173.99,67.21,3.1
11216,Bedford-Stuyvesant (West)/Crown Heights (West),Brooklyn,1000,1800.58,136.84,5.04
11217,Boerum Hill/Park Slope,Brooklyn,766,1613.42,181.14,4.31
11218,Kensington/Windsor Terrace,Brooklyn,2235,2948.3,184.68,8.95
11219,Borough Park,Brooklyn,3913,4213.96,264.92,13.53
11220,Sunset Park,Brooklyn,2232,2267.14,170.65,8.39
11221,Bedford-Stuyvesant (East)/Bushwick,Brooklyn,1740,2130.46,182.44,6.54
11222,Greenpoint,Brooklyn,638,1755.2,96.29,3.89
11223,Gravesend/Homecrest,Brooklyn,2874,3594.43,180.1,11.71
11224,Brighton Beach/Coney Island/Seagate,Brooklyn,1561,3508.86,492.27,10.52
11225,Crown Heights (West)/Prospect Lefferts Gardens,Brooklyn,1435,2486.51,247.78,7.41
11226,Flatbush/Prospect Lefferts Gardens,Brooklyn,2789,2815.43,310.92,9.09
11228,Bath Beach/Dyker Heights,Brooklyn,897,2028.72,199.03,7.57
11229,Gerritsen Beach/Homecrest/Sheepshead Bay,Brooklyn,2360,2779.44,186.08,9.67
11230,Midwood,Brooklyn,3646,4089.01,268.04,11.5
11231,Carroll Gardens/Cobble Hill/Red Hook,Brooklyn,539,1456.97,94.61,3.78
11232,Sunset Park,Brooklyn,714,2525.55,152.1,7.44
11233,Bedford-Stuyvesant (East)/Ocean Hill-Brownsville,Brooklyn,1596,2212.19,198.21,8.05
11234,Bergen Beach/Flatlands/Marine Park/Mill Basin,Brooklyn,2823,2962.08,205.66,10.43
11235,Brighton Beach/Manhattan Beach/Sheepshead Bay,Brooklyn,2757,3466.17,385.97,11.01
11236,Canarsie,Brooklyn,3241,3346.52,315.96,11.82
11237,Bushwick/East Williamsburg,Brooklyn,1294,2552.48,224.87,7.71
11238,Clinton Hill/Prospect Heights,Brooklyn,1024,1895.74,192.54,4.35
11239,East New York,Brooklyn,618,4978.5,725.02,12.64
11354,Flushing/Murray Hill,Queens,1573,2833.3,545.77,8.44
11355,Flushing/Murray Hill/Queensboro Hill,Queens,1712,2139.63,213.71,7.83
11356,College Point,Queens,724,3104.27,180.08,10.15
11357,Whitestone,Queens,1007,2519.04,265.16,8.18
11358,Auburndale/Murray Hill,Queens,712,2003.29,120.99,6.44
11360,Bayside (North),Queens,383,2030.41,148.44,6.27
11361,Bayside (North)/Bayside (South),Queens,567,2027.03,210.93,6.82
11362,Douglaston-Little Neck,Queens,385,2170.48,202.95,7.15
11363,Douglaston-Little Neck,Queens,119,1662.24,69.84,5.65
11364,Bayside (South)/Oakland Gardens,Queens,591,1709.94,101.27,6.18
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,1077,2444.9,156.64,8.27
11366,Fresh Meadows/Hillcrest,Queens,481,3491.23,217.75,11.48
11367,Kew Gardens Hills/Pomonok,Queens,1395,3318.33,161.75,10.34
11368,Corona/North Corona,Queens,5375,4816.56,401.45,13.98
11369,Airport/East Elmhurst,Queens,1847,5065.52,499.15,13.24
11370,Jackson Heights/Rikers Island,Queens,1545,4716.31,195.37,13.28
11372,Jackson Heights,Queens,3037,4854.32,421.98,12.03
11373,Elmhurst,Queens,3809,4101.18,321.94,11.48
11374,Rego Park,Queens,1408,3348.58,240.2,9.88
11375,Forest Hills,Queens,1875,2657.58,263.63,7.98
11377,Woodside,Queens,2751,3181.5,227.83,8.97
11378,Maspeth,Queens,924,2671.03,213.91,8.35
11379,Middle Village,Queens,1003,2771.06,281.8,8.48
11385,Glendale/Ridgewood,Queens,2777,2697.95,139.9,9.19
11411,Cambria Heights,Queens,772,3766.91,243.97,13.86
11412,St. Albans,Queens,1400,3558.09,228.73,12.63
11413,Laurelton/Rosedale,Queens,1505,3448.04,238.27,12.77
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,979,3463.58,222.89,11.65
11415,Kew Gardens,Queens,681,3540.56,275.55,9.69
11416,Ozone Park,Queens,912,3426.71,214.17,12.47
11417,Ozone Park,Queens,1043,3335.4,156.7,11.01
11418,Richmond Hill,Queens,1318,3458.85,278.18,12.06
11419,Richmond Hill/South Ozone Park,Queens,1439,2829.96,194.69,12.39
11420,South Ozone Park,Queens,1631,3368.74,223.07,13.32
11421,Woodhaven,Queens,1460,3458.94,244.02,12.63
11422,Rosedale,Queens,1120,3321.31,198.69,12.32
11423,Hollis/Holliswood,Queens,1278,3988.62,337.07,13.13
11426,Bellerose,Queens,592,2907.19,166.97,11.12
11427,Bellerose/Hollis Hills/Holliswood,Queens,911,3924.63,224.02,12.24
11428,Queens Village,Queens,762,3942.58,284.57,13.53
11429,Queens Village,Queens,1122,4001.95,271.08,12.84
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,2285,3615.77,411.42,12.29
11433,Jamaica,Queens,1118,3102.47,227.55,11.34
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,2374,3515.16,297.62,12.32
11435,Briarwood/Jamaica,Queens,1993,3456.24,260.13,12.22
11436,South Jamaica/South Ozone Park,Queens,626,3008.54,225.88,11.93
11691,Edgemere/Far Rockaway,Queens,3188,4922.87,585.25,13.35
11692,Arverne/Edgemere,Queens,750,3727.59,472.16,10.89
11693,Arverne/Broad Channel,Queens,379,3061.07,234.22,10.6
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,844,4146.24,442.13,11.56
11697,Breezy Point,Queens,128,3619.2,141.38,6.51